"Portland, Oregon Manual Bike Counts, 2000-2017",,,,,,,,,,,,,,,,,,,,,,
Sector,Site #,Location,count time,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,prior to 2000
northwest,40,NW Couch & 15th,4-6pm,47,55,63,48,43,51,46,39,43,40,37,24,-,-,-,-,-,14,19
northwest,41,NW Glisan & 16th,4-6pm,66,72,61,60,93,98,-,100,66,88,67,43,-,75,-,-,-,46,72
northwest,42,NW Johnson & 18th,4-6pm,185,188,202,220,184,167,176,144,157,-,132,130,-,-,-,89,-,82,-
northwest,43,NW Johnson & 19th,7-9am,152,142,135,102,108,163,200,-,83,105,127,-,-,-,40,-,51,-,-
northwest,44,NW Thompson & Skyline,4-6pm,25,21,26,-,-,26,-,-,-,43,-,-,-,-,-,-,-,-,-
northwest,45,NW Wardway & Nicolai,4-6pm,48,60,51,46,44,65,-,-,58,61,-,-,-,-,-,-,-,-,-
northwest,96,NW Overton & 18th,4-6pm,206,188,200,195,-,191,-,155,139,111,75,-,-,-,-,-,-,-,-
northwest,104,NW Naito & 9th,4-6pm,309,318,334,281,345,246,295,343,196,237,154,-,-,-,-,-,-,-,-
northwest,122,NW Thurman & 24th,4-6pm,71,84,91,112,115,98,103,127,136,132,-,-,-,-,-,-,-,-,-
northwest,123,NW Lovejoy & 9th,4-6pm,401,558,595,609,505,418,432,306,419,465,-,-,-,-,-,-,-,-,-
northwest,163,NW Johnson & 14th,4-6pm,260,279,231,231,229,215,207,206,211,-,-,-,-,-,-,-,-,-,-
northwest,235,NW Couch & 14th,4-6pm,138,153,130,111,82,105,-,-,-,-,-,-,-,-,-,-,-,-,-
northwest,236,NW Raleigh & 14th,4-6pm,67,80,81,64,40,44,-,-,-,-,-,-,-,-,-,-,-,-,-
northwest,237,NW Overton & 19th,7-9am,133,97,119,138,119,100,-,-,-,-,-,-,-,-,-,-,-,-,-
northwest,238,NW Marshall & 14th,4-6pm,233,215,230,138,204,173,-,-,-,-,-,-,-,-,-,-,-,-,-
northwest,239,NW Marshall & 18th,4-6pm,159,133,127,117,132,131,-,-,-,-,-,-,-,-,-,-,-,-,-
northwest,240,NW Marshall & 19th,7-9am,127,125,132,98,118,108,-,-,-,-,-,-,-,-,-,-,-,-,-
northwest,264,NW Everett & 19th,7-9am,165,175,226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northwest,303,NW Johnson & 20th (NEW),4-6pm,117,,,,,,,,,,,,,,,,,,
northwest,311,NW Marshall & 16th (NEW),4-6pm,151,,,,,,,,,,,,,,,,,,
northwest,313,NW Overton & 11th (NEW),4-6pm,311,,,,,,,,,,,,,,,,,,
southwest,74,SW Terwilliger & Sheridan,7-9am,94,141,113,161,162,138,142,144,151,129,117,210,-,-,-,-,-,-,124
southwest,75,SW Arnold & 35th,4-6pm,5,-,7,-,4,7,10,4,3,8,-,-,-,-,-,-,-,-,-
southwest,77,SW Barbur & Hamilton,4-6pm,105,142,107,164,153,126,206,150,141,198,105,92,-,-,-,-,62,-,33
southwest,78,SW BH Hwy & Shattuck,4-6pm,28,40,-,45,33,39,47,61,46,54,33,-,-,-,-,-,-,-,-
southwest,80,SW Canyon Ct & Skyline,4-6pm,111,102,126,136,146,138,132,108,91,116,77,52,-,-,-,-,-,-,-
southwest,81,SW Capitol & Sunset,4-6pm,115,102,128,156,101,104,136,125,123,131,117,80,-,-,74,-,-,66,78
southwest,82,SW Capitol Hwy & Vermont,4-6pm,53,51,70,76,61,102,66,69,59,67,45,45,-,-,-,-,-,-,-
southwest,85,SW Kingston & Rose Garden,4-6pm,71,-,71,76,49,-,72,-,-,76,-,-,-,-,-,-,-,-,-
southwest,86,SW Willamette Greenway & Miles,4-6pm,125,83,47,53,45,62,72,74,55,45,45,-,-,-,-,-,-,-,-
southwest,87,SW Moody & Gibbs,4-6pm,735,755,469,515,502,378,351,348,285,317,272,116,-,-,-,-,-,-,88
southwest,88,SW Multnomah & 45th,4-6pm,69,85,98,63,64,81,70,73,65,-,48,59,-,-,-,-,-,32,42
southwest,90,SW Terwilliger & 2nd,4-6pm,30,-,46,71,34,60,66,57,52,74,-,-,-,-,-,-,-,-,-
southwest,91,SW Terwilliger & Campus Drive,4-6pm,137,144,201,175,197,201,236,229,189,189,190,186,-,-,-,-,-,-,-
southwest,92,SW Capitol Hwy & Terwilliger,4-6pm,104,137,159,133,159,162,159,165,150,103,113,-,-,-,-,-,-,-,-
southwest,105,SW Bond & Curry,4-6pm,136,171,148,115,126,122,89,108,86,-,81,-,-,-,-,-,-,-,-
southwest,111,SW Barbur & Capitol Hwy,4-6pm,32,21,26,44,18,58,58,55,30,46,-,-,-,-,-,-,-,-,-
southwest,112,SW Hamilton & 45th,4-6pm,5,5,7,8,7,10,9,6,16,10,-,-,-,-,-,-,-,-,-
southwest,113,SW Taylors Ferry & Terwilliger,4-6pm,107,80,67,86,85,111,83,86,55,116,-,-,-,-,-,-,-,-,-
southwest,114,SW Palantine & Riverview Cemetary,4-6pm,68,93,84,78,-,97,95,112,84,-,-,-,-,-,-,-,-,-,-
southwest,115,SW Barbur & Terwilliger,4-6pm,119,135,141,164,154,155,190,204,179,-,-,114,-,-,70,-,35,-,-
southwest,116,SW Bertha & Vermont,4-6pm,36,29,31,18,30,36,70,49,35,-,-,-,-,-,-,-,-,-,-
southwest,117,SW Corbett & Nebraska,4-6pm,21,17,14,15,14,22,21,23,-,22,-,-,-,-,-,-,-,-,-
southwest,118,SW Arthur & 1st,4-6pm,47,66,70,76,89,82,88,83,63,97,-,-,-,-,-,-,-,-,-
southwest,120,SW 18th & Trail south of Sunset Hwy,4-6pm,24,33,39,20,26,43,15,35,-,-,-,-,-,-,-,-,-,-,-
southwest,121,SW Vista & Montgomery,7-9am,34,23,30,24,37,29,30,24,17,-,-,-,-,-,-,-,-,-,-
southwest,134,SW Troy & Capitol Hill,4-6pm,14,6,15,14,13,12,16,15,18,22,-,-,-,-,-,-,-,-,-
southwest,144,SW Humphrey & Patton,4-6pm,40,71,34,70,61,109,96,87,70,74,-,47,-,-,-,-,-,-,-
southwest,145,SW Terwilliger & Westwood,4-6pm,153,146,185,155,173,142,193,181,146,-,-,-,-,-,-,-,-,-,-
southwest,175,SW Illinois & 45th,4-6pm,8,-,7,12,13,6,16,9,-,-,-,-,-,-,-,-,-,-,-
southwest,206,SW Multnomah & 25th,4-6pm,57,-,35,60,52,54,83,-,-,-,-,-,-,-,-,-,-,-,-
southwest,207,SW Capitol Hwy & 35th,4-6pm,31,38,49,36,44,16,48,-,-,-,-,-,-,-,-,-,-,-,-
southwest,296,SW Miles & 60th,4-6pm,6,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southwest,305,SW Capitol Hwy & Dolph Ct/41st (NEW),4-6pm,6,,,,,,,,,,,,,,,,,,
southwest,312,SW Scholls Ferry Rd & Raab Rd/Humphrey Blvd (NEW),4-6pm,10,,,,,,,,,,,,,,,,,,
