title,artist,artist_bio,artist_birth_year,artist_death_year,num_artists,n_female_artists,n_male_artists,artist_gender,year_acquired,year_created,circumference_cm,depth_cm,diameter_cm,height_cm,length_cm,width_cm,seat_height_cm,purchase,gift,exchange,classification,department
"Lake George, Coat and Red",Georgia O'Keeffe,"(American, 1887–1986)",1887,1986,1,1,0,Female,1995,1919,NA,NA,NA,69.5,NA,59.1,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Americans in Paris,Guy Pène du Bois,"(American, 1884–1958)",1884,1958,1,0,1,Male,1935,1927,NA,NA,NA,73,NA,92.4,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
"Evening Storm, Schoodic, Maine",Marsden Hartley,"(American, 1877–1943)",1877,1943,1,0,1,Male,1943,1942,NA,NA,NA,76.2,NA,101.6,NA,FALSE,FALSE,TRUE,Painting,Painting & Sculpture
Composition,Virginia Admiral,"(American, 1915–2000)",1915,2e3,1,1,0,Female,1944,1942,NA,NA,NA,91.4,NA,86.4,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
States of Mind III: Those Who Stay,Umberto Boccioni,"(Italian, 1882–1916)",1882,1916,1,0,1,Male,1979,1911,NA,NA,NA,70.8,NA,95.9,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
"Red Wing, Number 1 from the Form Space series",Leon Polk Smith,"(American, 1906–1996)",1906,1996,1,0,1,Male,1981,1979,NA,NA,NA,123.2,NA,457.7,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Still Life,Georg Baselitz,"(German, born 1938)",1938,NA,1,0,1,Male,1991,1976,NA,NA,NA,250.2,NA,200.3,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
André Derain,Balthus (Baltusz Klossowski de Rola),"(French, 1908–2001)",1908,2001,1,0,1,Male,1944,1936,NA,NA,NA,112.7,NA,72.4,NA,FALSE,FALSE,TRUE,Painting,Painting & Sculpture
The Promenade,Pierre Bonnard,"(French, 1867–1947)",1867,1947,1,0,1,Male,1991,1894,NA,NA,NA,147.3,NA,180.3,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
The Flying Dutchman,Jimmy Ernst,"(American, 1920–1984)",1920,1984,1,0,1,Male,1943,1942,NA,NA,NA,50.8,NA,46,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
Barber Shop,Cundo Bermúdez,"(Cuban, 1914–2008)",1914,2008,1,0,1,Male,1944,1942,NA,NA,NA,63.8,NA,53.7,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
The Large Trees,Georges Braque,"(French, 1882–1963)",1882,1963,1,0,1,Male,1991,1906,NA,NA,NA,80,NA,70.5,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Still Life with Fruit Dish,Paul Cézanne,"(French, 1839–1906)",1839,1906,1,0,1,Male,1991,1879,NA,NA,NA,46.4,NA,54.6,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Emergency Room,Robert Colescott,"(American, 1925–2009)",1925,2009,1,0,1,Male,1991,1989,NA,NA,NA,229,NA,289.8,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Time Expired,Vern Blosum,"(American, 1936–2017)",1936,2017,1,0,1,Male,1963,1962,NA,NA,NA,95.1,NA,70.7,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Abstraction Blue,Georgia O'Keeffe,"(American, 1887–1986)",1887,1986,1,1,0,Female,1979,1927,NA,NA,NA,102.1,NA,76,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Untitled,Eva Hesse,"(American, born Germany. 1936–1970)",1936,1970,1,1,0,Female,1991,1960,NA,NA,NA,41.2,NA,40.7,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Marilyn,James Francis Gill,"(American, born 1934)",1934,NA,1,0,1,Male,1963,1962,NA,NA,NA,121.9,NA,91.1,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Untitled,Eva Hesse,"(American, born Germany. 1936–1970)",1936,1970,1,1,0,Female,1991,1960,NA,NA,NA,45.7,NA,38.1,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Broadway Boogie Woogie,Piet Mondrian,"(Dutch, 1872–1944)",1872,1944,1,0,1,Male,1943,1942,NA,NA,NA,127,NA,127,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
A Time for Fear,Jimmy Ernst,"(American, 1920–1984)",1920,1984,1,0,1,Male,1950,1949,NA,NA,NA,60.6,NA,50.8,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Inscription 4026 B.C.,Enrico Donati,"(American, born Italy. 1909–2008)",1909,2008,1,0,1,Male,1962,1962,NA,NA,NA,152.5,NA,126.9,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
"Three Heads with the Word ""Black""",Lester F. Johnson,"(American, 1919–2010)",1919,2010,1,0,1,Male,1963,1962,NA,NA,NA,153,NA,198.5,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Cathedral,Hans Hofmann,"(American, born Germany. 1880–1966)",1880,1966,1,0,1,Male,1991,1959,NA,NA,NA,188,NA,122,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Two Heads,Jean (Hans) Arp,"(French, born Germany (Alsace). 1886–1966)",1886,1966,1,0,1,Male,1936,1927,NA,NA,NA,35,NA,27,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
Man-Men: Mirror,Robert Hansen,"(American, 1924–2013)",1924,2013,1,0,1,Male,1962,1959,NA,NA,NA,116.7,NA,182.7,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Sweet Cathy's Song (For Cathy Elzea),Joan Snyder,"(American, born 1940)",1940,NA,1,1,0,Female,1979,1978,NA,NA,NA,198.1,NA,365.8,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Lita,Alex Katz,"(American, born 1927)",1927,NA,1,0,1,Male,1991,1964,NA,NA,NA,152.4,NA,153,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Western Air,Robert Motherwell,"(American, 1915–1991)",1915,1991,1,0,1,Male,1950,1946,NA,NA,NA,182.9,NA,137.2,NA,TRUE,FALSE,TRUE,Painting,Painting & Sculpture
The Meeting,Richard Lindner,"(American, born Germany. 1901–1978)",1901,1978,1,0,1,Male,1962,1953,NA,NA,NA,152.4,NA,182.9,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Yellow Asymmetry,Guido Molinari,"(Canadian, 1933–2004)",1933,2004,1,0,1,Male,1963,1959,NA,NA,NA,152.1,NA,122,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Composition,Jean Hélion,"(French, 1904–1987)",1904,1987,1,0,1,Male,1937,1936,NA,NA,NA,99.7,NA,80.9,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Harlequin,Pablo Picasso,"(Spanish, 1881–1973)",1881,1973,1,0,1,Male,1950,1915,NA,NA,NA,183.5,NA,105.1,NA,FALSE,FALSE,TRUE,Painting,Painting & Sculpture
Chronic Hollow,Ida Applebroog,"(American, born 1929)",1929,NA,1,1,0,Female,1989,1989,NA,NA,NA,240,NA,295,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
Rider (Untitled VII),Willem de Kooning,"(American, born the Netherlands. 1904–1997)",1904,1997,1,0,1,Male,1991,1985,NA,NA,NA,177.8,NA,203.2,NA,TRUE,TRUE,FALSE,Painting,Painting & Sculpture
"Number 1A, 1948",Jackson Pollock,"(American, 1912–1956)",1912,1956,1,0,1,Male,1950,1948,NA,NA,NA,172.7,NA,264.2,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
Oompalik,Maurice Sievan,"(American, born Ukraine. 1898–1981)",1898,1981,1,0,1,Male,1963,1962,NA,NA,NA,175.4,NA,150.4,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
"Mama, Papa Is Wounded!",Yves Tanguy,"(American, born France. 1900–1955)",1900,1955,1,0,1,Male,1936,1927,NA,NA,NA,92.1,NA,73,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
Descent from the Cross,Roger van Rogger,"(Belgian, 1914–1983)",1914,1983,1,0,1,Male,1950,1946,NA,NA,NA,145.1,NA,210.8,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Music (Sketch),Henri Matisse,"(French, 1869–1954)",1869,1954,1,0,1,Male,1962,1907,NA,NA,NA,73.4,NA,60.8,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Purple Fill,Morris Louis,"(American, 1912–1962)",1912,1962,1,0,1,Male,1991,1962,NA,NA,NA,221,NA,69.9,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Woman with Pineapple,Rufino Tamayo,"(Mexican, 1899–1991)",1899,1991,1,0,1,Male,1943,1941,NA,NA,NA,101.6,NA,76.2,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Father D'Arcy,Elsa Schmid,"(American, born Germany. 1897–1970)",1897,1970,1,1,0,Female,1950,1948,NA,NA,NA,79.4,NA,44.5,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Clown,Georges Rouault,"(French, 1871–1958)",1871,1958,1,0,1,Male,1973,1912,NA,NA,NA,89.8,NA,68.2,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
"Great American Nude, 2",Tom Wesselmann,"(American, 1931–2004)",1931,2004,1,0,1,Male,1963,1961,NA,NA,NA,151.5,NA,120.5,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Bed,Robert Rauschenberg,"(American, 1925–2008)",1925,2008,1,0,1,Male,1989,1955,NA,20.32,NA,191.1,NA,80,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Interior with a Young Girl (Girl Reading),Henri Matisse,"(French, 1869–1954)",1869,1954,1,0,1,Male,1991,1905,NA,NA,NA,72.7,NA,59.7,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Fishes,Amelia Peláez Del Casal,"(Cuban, 1896–1968)",1896,1968,1,1,0,Female,1944,1943,NA,NA,NA,115.6,NA,89.2,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Autumn Landscape,Maurice de Vlaminck,"(French, 1876–1958)",1876,1958,1,0,1,Male,1973,1905,NA,NA,NA,46.2,NA,55.2,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Thanksgiving Turkey,Joan Brown,"(American, 1938–1990)",1938,1990,1,1,0,Female,1960,1959,NA,NA,NA,121.5,NA,121.5,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
"The Reservoir, Horta de Ebro",Pablo Picasso,"(Spanish, 1881–1973)",1881,1973,1,0,1,Male,1991,1909,NA,NA,NA,61.5,NA,51.1,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
The She-Wolf,Jackson Pollock,"(American, 1912–1956)",1912,1956,1,0,1,Male,1944,1943,NA,NA,NA,106.4,NA,170.2,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
Painting,Harry Zolotow,"(American, born Ukraine. 1888–1963)",1888,1963,1,0,1,Male,1947,1946,NA,NA,NA,137.8,NA,101.6,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Seated Bather,Pablo Picasso,"(Spanish, 1881–1973)",1881,1973,1,0,1,Male,1950,1930,NA,NA,NA,163.2,NA,129.5,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Jacob's Ladder,Helen Frankenthaler,"(American, 1928–2011)",1928,2011,1,1,0,Female,1960,1957,NA,NA,NA,287.9,NA,177.5,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
"Abstract Painting, Red",Ad Reinhardt,"(American, 1913–1967)",1913,1967,1,0,1,Male,1991,1952,NA,NA,NA,274.3,NA,101.9,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Still Life,Juan Gris,"(Spanish, 1887–1927)",1887,1927,1,0,1,Male,1958,1917,NA,NA,NA,73,NA,99.7,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
"Landscape, 47",Natalia Goncharova,"(Russian, 1881–1962)",1881,1962,1,1,0,Female,1937,1912,NA,NA,NA,54.6,NA,46.7,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Meditation on an Oak Leaf,André Masson,"(French, 1896–1987)",1896,1987,1,0,1,Male,1950,1942,NA,NA,NA,101.6,NA,83.8,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
A Bedroom in Venice,Sean Scully,"(American, born Ireland 1945)",1945,NA,1,0,1,Male,1991,1988,NA,NA,NA,243.8,NA,304.8,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
The Sea (Marine),Max Ernst,"(French and American, born Germany. 1891–1976)",1891,1976,1,0,1,Male,1936,1928,NA,NA,NA,55.9,NA,47,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
"Still Life with Fish, II",Bernard Buffet,"(French, 1928–1999)",1928,1999,1,0,1,Male,1950,1949,NA,NA,NA,41.6,NA,85.1,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Orange Grove at Night,Renato Guttuso,"(Italian, 1912–1987)",1912,1987,1,0,1,Male,1958,1957,NA,NA,NA,140.6,NA,230.2,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Perpetual Possibility,Knud Merrild,"(American, born Denmark.1894–1954)",1894,1954,1,0,1,Male,1960,1942,NA,NA,NA,50.8,NA,41.1,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
"Opus 217. Against the Enamel of a Background Rhythmic with Beats and Angles, Tones, and Tints, Portrait of M. Félix Fénéon in 1890",Paul Signac,"(French, 1863–1935)",1863,1935,1,0,1,Male,1991,1890,NA,NA,NA,73.5,NA,92.5,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Interior with a Violin Case,Henri Matisse,"(French, 1869–1954)",1869,1954,1,0,1,Male,1934,1918,NA,NA,NA,73,NA,60,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
The Anxious Journey,Giorgio de Chirico,"(Italian, born Greece. 1888–1978)",1888,1978,1,0,1,Male,1950,1913,NA,NA,NA,74.3,NA,106.7,NA,FALSE,FALSE,TRUE,Painting,Painting & Sculpture
Anna Zborowska,Amedeo Modigliani,"(Italian, 1884–1920)",1884,1920,1,0,1,Male,1934,1917,NA,NA,NA,130.2,NA,81.3,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
The Nostalgia of the Infinite,Giorgio de Chirico,"(Italian, born Greece. 1888–1978)",1888,1978,1,0,1,Male,1936,1912,NA,NA,NA,135.2,NA,64.8,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
Lita Curtain Star [Lita Hornick],Andy Warhol,"(American, 1928–1987)",1928,1987,1,0,1,Male,1991,1968,NA,NA,NA,68.6,NA,68.3,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Agony,Arshile Gorky,"(American, born Armenia. 1904–1948)",1904,1948,1,0,1,Male,1950,1947,NA,NA,NA,101.6,NA,128.3,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Nocturnal Encounters,Joseph Mellor Hanson,"(British, 1900–1963)",1900,1963,1,0,1,Male,1950,1949,NA,NA,NA,89.2,NA,115.2,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Number 172,Miguel Ocampo,"(Argentine, born 1922)",1922,NA,1,0,1,Male,1958,1957,NA,NA,NA,54,NA,81,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Homestead,John Kane,"(American, born Scotland. 1860–1934)",1860,1934,1,0,1,Male,1935,1929,NA,NA,NA,61,NA,68.6,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Equals Infinity,Paul Klee,"(German, born Switzerland. 1879–1940)",1879,1940,1,0,1,Male,1950,1932,NA,NA,NA,51.4,NA,68.3,NA,FALSE,FALSE,TRUE,Painting,Painting & Sculpture
The King,Kurt Seligmann,"(American, 1900–1962)",1900,1962,1,0,1,Male,1960,1960,NA,NA,NA,61.4,NA,50.7,NA,FALSE,TRUE,TRUE,Painting,Painting & Sculpture
EM 2 (Telephone Picture),László Moholy-Nagy,"(American, born Hungary. 1895–1946)",1895,1946,1,0,1,Male,1971,1923,NA,NA,NA,47.5,NA,30.1,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Green Still Life,Pablo Picasso,"(Spanish, 1881–1973)",1881,1973,1,0,1,Male,1934,1914,NA,NA,NA,59.7,NA,79.4,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
EM 3 (Telephone Picture),László Moholy-Nagy,"(American, born Hungary. 1895–1946)",1895,1946,1,0,1,Male,1971,1923,NA,NA,NA,24,NA,15,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Dead Fowl,Chaim Soutine,"(French, 1893–1943)",1893,1943,1,0,1,Male,1958,1924,NA,NA,NA,110.4,NA,81.1,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Five Split Bottles: White on White,Roy Adzak,"(British, 1927–1987)",1927,1987,1,0,1,Male,1967,1965,NA,7.2,NA,73,NA,115.8,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
The Charnel House,Pablo Picasso,"(Spanish, 1881–1973)",1881,1973,1,0,1,Male,1971,1944,NA,NA,NA,199.8,NA,250.1,NA,FALSE,FALSE,TRUE,Painting,Painting & Sculpture
Lunar Landscape,Albert Tucker,"(Australian, 1914–1999)",1914,1999,1,0,1,Male,1958,1957,NA,NA,NA,95.6,NA,130.3,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
Anthracite Minuet,Gene Davis,"(American, 1920–1985)",1920,1985,1,0,1,Male,1967,1966,NA,NA,NA,236.4,NA,231.3,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
The Hunter (Catalan Landscape),Joan Miró,"(Spanish, 1893–1983)",1893,1983,1,0,1,Male,1936,1923,NA,NA,NA,64.8,NA,100.3,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
Subway,Genichiro Inokuma,"(Japanese, 1902–1993)",1902,1993,1,0,1,Male,1967,1966,NA,NA,NA,203.8,NA,127.8,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Head,Benjamin Kopman,"(American, born Russia. 1887–1965)",1887,1965,1,0,1,Male,1935,1929,NA,NA,NA,58.1,NA,46,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Walken's Ridge,Jake Berthot,"(American, 1939–2014)",1939,2014,1,0,1,Male,1976,1975,NA,NA,NA,152.1,NA,213.4,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Number 40,Forrest Bess,"(American, 1911–1977)",1911,1977,1,0,1,Male,1982,1949,NA,NA,NA,26.6700533401,NA,34.2900685801,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
The Ruin,Benjamin Kopman,"(American, born Russia. 1887–1965)",1887,1965,1,0,1,Male,1935,1930,NA,NA,NA,65.1,NA,92.4,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
"Cottage Porch, Peaked Hill",Edwin Dickinson,"(American, 1891–1978)",1891,1978,1,0,1,Male,1961,1932,NA,NA,NA,66.4,NA,76.3,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Painting,Louis Cane,"(French, born 1943)",1943,NA,1,0,1,Male,1976,1975,NA,NA,NA,243.4,NA,331.9,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Harlequinade,Albert Bloch,"(American, 1882–1961)",1882,1961,1,0,1,Male,1982,1911,NA,NA,NA,91.4,NA,118.1,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Adversaries,Richard Bosman,"(Australian, born India 1944)",1944,NA,1,0,1,Male,1982,1981,NA,NA,NA,183,NA,106.6,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Number 11: A Presence,Richard Pousette-Dart,"(American, 1916–1992)",1916,1992,1,0,1,Male,1950,1949,NA,NA,NA,63.8,NA,53.7,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
"Fishing Boats, Collioure",André Derain,"(French, 1880–1954)",1880,1954,1,0,1,Male,1958,1905,NA,NA,NA,38.2,NA,46.3,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
That Which Will Be,Joan Josep Tharrats,"(Spanish, 1918–2001)",1918,2001,1,0,1,Male,1961,1961,NA,NA,NA,130,NA,96.8,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
The Last Haitian Night of King Christophe,Eugene Fernandez Granell,"(Spanish, 1912–2001)",1912,2001,1,0,1,Male,1962,1960,NA,NA,NA,76.3,NA,107,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
"Towards Disappearance, II",Sam Francis,"(American, 1923–1994)",1923,1994,1,0,1,Male,1976,1957,NA,NA,NA,275.6,NA,319.7,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Hands,David Alfaro Siqueiros,"(Mexican, 1896–1974)",1896,1974,1,0,1,Male,1950,1949,NA,NA,NA,122.2,NA,100,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
The Intellectual,Arthur Dove,"(American, 1880–1946)",1880,1946,1,0,1,Male,1958,1925,NA,NA,NA,43,NA,18.2,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Dinnertime,Édouard Vuillard,"(French, 1868–1940)",1868,1940,1,0,1,Male,1961,1889,NA,NA,NA,71.8,NA,92.2,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Sherwin Williams Chevy,Ralph Goings,"(American, born 1928)",1928,NA,1,0,1,Male,1976,1975,NA,NA,NA,111.5,NA,157.5,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
Childbirth,Jean Dubuffet,"(French, 1901–1985)",1901,1985,1,0,1,Male,1982,1944,NA,NA,NA,99.8,NA,80.8,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Figure in Rain,Rico Lebrun,"(American, born Italy. 1900–1964)",1900,1964,1,0,1,Male,1950,1949,NA,NA,NA,121.9,NA,76.5,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
"My Grandparents, My Parents, and I (Family Tree)",Frida Kahlo,"(Mexican, 1907–1954)",1907,1954,1,1,0,Female,1976,1936,NA,NA,NA,30.7,NA,34.5,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Road near L'Estaque,Georges Braque,"(French, 1882–1963)",1882,1963,1,0,1,Male,1943,1908,NA,NA,NA,60.3,NA,50.2,NA,FALSE,FALSE,TRUE,Painting,Painting & Sculpture
Contrast of Forms,Fernand Léger,"(French, 1881–1955)",1881,1955,1,0,1,Male,1958,1913,NA,NA,NA,100.3,NA,81.1,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
The Kill,André Masson,"(French, 1896–1987)",1896,1987,1,0,1,Male,1976,1944,NA,NA,NA,55.2,NA,67.9,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
"Untitled [Suite ""Blancs""]",Simon Hantaï,"(French, born Hungary. 1922–2008)",1922,2008,1,0,1,Male,1982,1973,NA,NA,NA,305.3,NA,466.5,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Fallen Angel,Paul Burlin,"(American, 1886–1969)",1886,1969,1,0,1,Male,1943,1943,NA,NA,NA,32.8,NA,40.8,NA,TRUE,FALSE,FALSE,Painting,Painting & Sculpture
"Double Metamorphosis, II",Agam (Yaacov Agam),"(Israeli, born 1928)",1928,NA,1,0,1,Male,1965,1964,NA,NA,NA,269.2,NA,401.8,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
The Princess,Leonard French,"(Australian, born 1928)",1928,NA,1,0,1,Male,1966,1965,NA,NA,NA,122.4,NA,152.2,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
The Big N,Al Held,"(American, 1928–2005)",1928,2005,1,0,1,Male,1973,1964,NA,NA,NA,275.2,NA,274.3,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Between the Clock and the Bed,Jasper Johns,"(American, born 1930)",1930,NA,1,0,1,Male,1981,1981,NA,NA,NA,183.4,NA,320.9931,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
"""#7 - 1967""",Peter Young,"(American, born 1940)",1940,NA,1,0,1,Male,1976,1967,NA,NA,NA,274.5,NA,274.5,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Untitled,Donald Judd,"(American, 1928–1994)",1928,1994,1,0,1,Male,1982,1961,NA,NA,NA,182.9,NA,121.6,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
The Rape,Pablo Picasso,"(Spanish, 1881–1973)",1881,1973,1,0,1,Male,1958,1920,NA,NA,NA,23.8,NA,32.6,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Equivocation,Ben Cunningham (Benjamin Frazier Cunningham),"(American, 1904–1975)",1904,1975,1,0,1,Male,1965,1964,NA,NA,NA,65.9,NA,65.9,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Flag,Jasper Johns,"(American, born 1930)",1930,NA,1,0,1,Male,1973,1954,NA,NA,NA,107.3,NA,153.8,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Castle Garden,Paul Klee,"(German, born Switzerland. 1879–1940)",1879,1940,1,0,1,Male,1982,1931,NA,NA,NA,67.2,NA,54.9,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Hand of Mercy,Piero Dorazio,"(Italian, 1927–2005)",1927,2005,1,0,1,Male,1965,1963,NA,NA,NA,162.6,NA,130.3,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Family Circle,Ronald Markman,"(American, born 1931)",1931,NA,1,0,1,Male,1966,1965,NA,NA,NA,124,NA,143.4,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
(Untitled),Franz Kline,"(American, 1910–1962)",1910,1962,1,0,1,Male,1973,1959,NA,NA,NA,117.2,NA,117.2,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Pirate (Untitled II),Willem de Kooning,"(American, born the Netherlands. 1904–1997)",1904,1997,1,0,1,Male,1982,1981,NA,NA,NA,223.4,NA,194.4,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Elizabeth,Chuck Close,"(American, born 1940)",1940,NA,1,0,1,Male,1990,1989,NA,NA,NA,182.9,NA,152.4,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
The Senate,William Gropper,"(American, 1897–1977)",1897,1977,1,0,1,Male,1936,1935,NA,NA,NA,63.8,NA,84.2,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Actress Dressing,Eugenie Baizerman,"(American, born Poland. 1899–1949)",1899,1949,1,1,0,Female,1961,1945,NA,NA,NA,115.7,NA,86.3,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
White Quipus,Jorge Eielson,"(Peruvian, 1924–2006)",1924,2006,1,0,1,Male,1965,1964,NA,NA,NA,95.2,NA,150.2,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
14th Street Series Number 9,Mark Lancaster,"(British, born 1938)",1938,NA,1,0,1,Male,1973,1972,NA,NA,NA,87,NA,127.6,NA,FALSE,TRUE,FALSE,Painting,Painting & Sculpture
Evening Song,Robert Kushner,"(American, born 1949)",1949,NA,1,0,1,Male,1982,1981,NA,NA,NA,265.6,NA,441,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
Gourds,Henri Matisse,"(French, 1869–1954)",1869,1954,1,0,1,Male,1935,1915,NA,NA,NA,65.1,NA,80.9,NA,FALSE,FALSE,FALSE,Painting,Painting & Sculpture
